"filename", "language", "Python", "Markdown", "JSON", "pip requirements", "JavaScript", "comment", "blank", "total"
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\user.py", "Python", 155, 0, 0, 0, 0, 20, 28, 203
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\lcg.py", "Python", 32, 0, 0, 0, 0, 16, 13, 61
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\codec.py", "Python", 39, 0, 0, 0, 0, 0, 5, 44
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\__init__.py", "Python", 243, 0, 0, 0, 0, 0, 6, 249
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\console.py", "Python", 1601, 0, 0, 0, 0, 15, 50, 1666
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\driver_std.py", "Python", 218, 0, 0, 0, 0, 0, 14, 232
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\views.py", "Python", 84, 0, 0, 0, 0, 0, 5, 89
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\__init__.py", "Python", 55, 0, 0, 0, 0, 0, 2, 57
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\coroutines.py", "Python", 524, 0, 0, 0, 0, 1, 56, 581
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\csv.py", "Python", 65, 0, 0, 0, 0, 10, 7, 82
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\generateinit.mjs", "JavaScript", 0, 0, 0, 0, 30, 0, 3, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\__init__.py", "Python", 31, 0, 0, 0, 0, 0, 2, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\math.py", "Python", 110, 0, 0, 0, 0, 18, 16, 144
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\mixin.py", "Python", 69, 0, 0, 0, 0, 0, 7, 76
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\__init__.py", "Python", 62, 0, 0, 0, 0, 0, 2, 64
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\primordials.py", "Python", 387, 0, 0, 0, 0, 14, 67, 468
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\setup.py", "Python", 9, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\csv_reader.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testabortsignalsuspendable.py", "Python", 30, 0, 0, 0, 0, 0, 5, 35
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_textformatter.py", "Python", 68, 0, 0, 0, 0, 0, 10, 78
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_views.py", "Python", 53, 0, 0, 0, 0, 0, 12, 65
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testgetch.py", "Python", 117, 0, 0, 0, 0, 7, 5, 129
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testmixin.py", "Python", 42, 0, 0, 0, 0, 1, 8, 51
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testprimordialstrim.py", "Python", 16, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testutils.py", "Python", 38, 0, 0, 0, 0, 0, 7, 45
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\userauthtest.py", "Python", 35, 0, 0, 0, 0, 6, 4, 45
"Total", "-", 9080, 80, 1368, 2, 504, 181, 743, 11958
